Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg
2025+AC0-11+AC0-16,JACKPOT,Feeding,Morning,,2.5
2025+AC0-11+AC0-16,JACKPOT,Milking,Morning,5.8,
2025+AC0-11+AC0-16,JACKPOT,Milking,Midday,4.6,
2025+AC0-11+AC0-16,JACKPOT,Feeding,Evening,,2.5
2025+AC0-11+AC0-16,JACKPOT,Milking,Evening,4.6,
2025+AC0-11+AC0-16,SHARON,Feeding,Morning,,2.5
2025+AC0-11+AC0-16,SHARON,Milking,Morning,6,
2025+AC0-11+AC0-16,SHARON,Milking,Midday,5.5,
2025+AC0-11+AC0-16,SHARON,Feeding,Evening,,2.5
2025+AC0-11+AC0-16,SHARON,Milking,Evening,4.3,
2025+AC0-11+AC0-16,MAMBO,Feeding,Morning,,2.5
2025+AC0-11+AC0-16,MAMBO,Milking,Morning,8.1,
2025+AC0-11+AC0-16,MAMBO,Milking,Midday,6.3,
2025+AC0-11+AC0-16,MAMBO,Feeding,Evening,,2.5
2025+AC0-11+AC0-16,MAMBO,Milking,Evening,5.8,
2025+AC0-11+AC0-16,ROCKY,Feeding,Morning,,2.5
2025+AC0-11+AC0-16,ROCKY,Milking,Morning,6.4,
2025+AC0-11+AC0-16,ROCKY,Milking,Midday,3.5,
2025+AC0-11+AC0-16,ROCKY,Feeding,Evening,,2.5
2025+AC0-11+AC0-16,ROCKY,Milking,Evening,4.1,
2025+AC0-11+AC0-16,JOAN,Feeding,Morning,,2.5
2025+AC0-11+AC0-16,JOAN,Milking,Morning,6.8,
2025+AC0-11+AC0-16,JOAN,Milking,Midday,5,
2025+AC0-11+AC0-16,JOAN,Feeding,Evening,,2.5
2025+AC0-11+AC0-16,JOAN,Milking,Evening,4.5,
2025+AC0-11+AC0-16,BROOK,Feeding,Morning,,3.8
2025+AC0-11+AC0-16,BROOK,Milking,Morning,4.5,
2025+AC0-11+AC0-16,BROOK,Milking,Midday,4.1,
2025+AC0-11+AC0-16,BROOK,Feeding,Evening,,2.5
2025+AC0-11+AC0-16,BROOK,Milking,Evening,4.3,
2025+AC0-11+AC0-16,SONIC,Feeding,Morning,,2.5
2025+AC0-11+AC0-16,SONIC,Milking,Morning,7,
2025+AC0-11+AC0-16,SONIC,Milking,Midday,6.5,
2025+AC0-11+AC0-16,SONIC,Feeding,Evening,,2.5
2025+AC0-11+AC0-16,SONIC,Milking,Evening,7,
2025+AC0-11+AC0-16,RODEO,Feeding,Morning,,2.5
2025+AC0-11+AC0-16,RODEO,Milking,Morning,3.7,
2025+AC0-11+AC0-16,RODEO,Milking,Midday,3.8,
2025+AC0-11+AC0-16,RODEO,Feeding,Evening,,2.5
2025+AC0-11+AC0-16,RODEO,Milking,Evening,3.9,
2025+AC0-11+AC0-16,CHROME,Feeding,Morning,,2.5
2025+AC0-11+AC0-16,CHROME,Milking,Morning,8.4,
2025+AC0-11+AC0-16,CHROME,Milking,Midday,7.5,
2025+AC0-11+AC0-16,CHROME,Feeding,Evening,,2.5
2025+AC0-11+AC0-16,CHROME,Milking,Evening,7.4,
