7,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg
2025+AC0-10+AC0-17,JACKPOT,Feeding,Morning,,2.5
2025+AC0-10+AC0-17,JACKPOT,Milking,Morning,4,
2025+AC0-10+AC0-17,JACKPOT,Milking,Midday,1.5,
2025+AC0-10+AC0-17,JACKPOT,Feeding,Evening,,2.5
2025+AC0-10+AC0-17,JACKPOT,Milking,Evening,1.3,
2025+AC0-10+AC0-17,SHARON,Feeding,Morning,,2.5
2025+AC0-10+AC0-17,SHARON,Milking,Morning,6.5,
2025+AC0-10+AC0-17,SHARON,Milking,Midday,5.1,
2025+AC0-10+AC0-17,SHARON,Feeding,Evening,,2.5
2025+AC0-10+AC0-17,SHARON,Milking,Evening,2.5,
2025+AC0-10+AC0-17,MAMBO,Feeding,Morning,,2.5
2025+AC0-10+AC0-17,MAMBO,Milking,Morning,9.5,
2025+AC0-10+AC0-17,MAMBO,Milking,Midday,6.1,
2025+AC0-10+AC0-17,MAMBO,Feeding,Evening,,2.5
2025+AC0-10+AC0-17,MAMBO,Milking,Evening,5,
2025+AC0-10+AC0-17,ROCKY,Feeding,Morning,,2.5
2025+AC0-10+AC0-17,ROCKY,Milking,Morning,4,
2025+AC0-10+AC0-17,ROCKY,Milking,Midday,2.8,
2025+AC0-10+AC0-17,ROCKY,Feeding,Evening,,2.5
2025+AC0-10+AC0-17,ROCKY,Milking,Evening,2.4,
2025+AC0-10+AC0-17,JOAN,Feeding,Morning,,2.5
2025+AC0-10+AC0-17,JOAN,Milking,Morning,7,
2025+AC0-10+AC0-17,JOAN,Milking,Midday,5.6,
2025+AC0-10+AC0-17,JOAN,Feeding,Evening,,2.5
2025+AC0-10+AC0-17,JOAN,Milking,Evening,4,
2025+AC0-10+AC0-17,BROOK,Feeding,Morning,,3.8
2025+AC0-10+AC0-17,BROOK,Milking,Morning,4.2,
2025+AC0-10+AC0-17,BROOK,Milking,Midday,3.9,
2025+AC0-10+AC0-17,BROOK,Feeding,Evening,,2.5
2025+AC0-10+AC0-17,BROOK,Milking,Evening,3,
2025+AC0-10+AC0-17,SONIC,Feeding,Morning,,2.5
2025+AC0-10+AC0-17,SONIC,Milking,Morning,7,
2025+AC0-10+AC0-17,SONIC,Milking,Midday,6,
2025+AC0-10+AC0-17,SONIC,Feeding,Evening,,2.5
2025+AC0-10+AC0-17,SONIC,Milking,Evening,4.3,
2025+AC0-10+AC0-17,RODEO,Feeding,Morning,,3.8
2025+AC0-10+AC0-17,RODEO,Milking,Morning,6,
2025+AC0-10+AC0-17,RODEO,Milking,Midday,3.1,
2025+AC0-10+AC0-17,RODEO,Feeding,Evening,,2.5
2025+AC0-10+AC0-17,RODEO,Milking,Evening,3.7,
2025+AC0-10+AC0-17,SASHA,Feeding,Morning,,3.8
2025+AC0-10+AC0-17,SASHA,Milking,Morning,4.6,
2025+AC0-10+AC0-17,SASHA,Milking,Midday,4.3,
2025+AC0-10+AC0-17,SASHA,Feeding,Evening,,2.5
2025+AC0-10+AC0-17,SASHA,Milking,Evening,2.4,
2025+AC0-10+AC0-17,CHROME,Feeding,Morning,,2.5
2025+AC0-10+AC0-17,CHROME,Milking,Morning,8,
2025+AC0-10+AC0-17,CHROME,Milking,Midday,7.5,
2025+AC0-10+AC0-17,CHROME,Feeding,Evening,,2.5
2025+AC0-10+AC0-17,CHROME,Milking,Evening,6.1,
