Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg,Temperature+AF8-C,Notes
2025+AC0-10+AC0-22,JACKPOT,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-22,JACKPOT,Milking,Morning,5.3,,,
2025+AC0-10+AC0-22,JACKPOT,Milking,Midday,4,,,
2025+AC0-10+AC0-22,JACKPOT,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-22,JACKPOT,Milking,Evening,3.5,,,
2025+AC0-10+AC0-22,SHARON,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-22,SHARON,Milking,Morning,7,,,
2025+AC0-10+AC0-22,SHARON,Milking,Midday,4.7,,,
2025+AC0-10+AC0-22,SHARON,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-22,SHARON,Milking,Evening,3.5,,,
2025+AC0-10+AC0-22,MAMBO,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-22,MAMBO,Milking,Morning,9.1,,,
2025+AC0-10+AC0-22,MAMBO,Milking,Midday,5.7,,,
2025+AC0-10+AC0-22,MAMBO,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-22,MAMBO,Milking,Evening,5.2,,,
2025+AC0-10+AC0-22,ROCKY,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-22,ROCKY,Milking,Morning,5.8,,,
2025+AC0-10+AC0-22,ROCKY,Milking,Midday,5,,,
2025+AC0-10+AC0-22,ROCKY,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-22,ROCKY,Milking,Evening,3.5,,,
2025+AC0-10+AC0-22,JOAN,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-22,JOAN,Milking,Morning,5.2,,,
2025+AC0-10+AC0-22,JOAN,Milking,Midday,5,,,
2025+AC0-10+AC0-22,JOAN,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-22,JOAN,Milking,Evening,3.5,,,
2025+AC0-10+AC0-22,BROOK,Feeding,Morning,,3.8,,
2025+AC0-10+AC0-22,BROOK,Milking,Morning,3.7,,,
2025+AC0-10+AC0-22,BROOK,Milking,Midday,4.1,,,
2025+AC0-10+AC0-22,BROOK,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-22,BROOK,Milking,Evening,3,,,
2025+AC0-10+AC0-22,SONIC,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-22,SONIC,Milking,Morning,7,,,
2025+AC0-10+AC0-22,SONIC,Milking,Midday,5.8,,,
2025+AC0-10+AC0-22,SONIC,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-22,SONIC,Milking,Evening,4.5,,,
2025+AC0-10+AC0-22,RODEO,Feeding,Morning,,3.8,,
2025+AC0-10+AC0-22,RODEO,Milking,Morning,3.8,,,
2025+AC0-10+AC0-22,RODEO,Milking,Midday,5,,,
2025+AC0-10+AC0-22,RODEO,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-22,RODEO,Milking,Evening,5,,,
2025+AC0-10+AC0-22,SASHA,Feeding,Morning,,3.8,,
2025+AC0-10+AC0-22,SASHA,Milking,Morning,4.1,,,
2025+AC0-10+AC0-22,SASHA,Milking,Midday,4.2,,,
2025+AC0-10+AC0-22,SASHA,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-22,SASHA,Milking,Evening,3.8,,,
2025+AC0-10+AC0-22,CHROME,Feeding,Morning,,2.5,,
2025+AC0-10+AC0-22,CHROME,Milking,Morning,6.5,,,
2025+AC0-10+AC0-22,CHROME,Milking,Midday,7.8,,,
2025+AC0-10+AC0-22,CHROME,Feeding,Evening,,2.5,,
2025+AC0-10+AC0-22,CHROME,Milking,Evening,6.2,,,
