Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg
2025+AC0-10+AC0-31,JACKPOT,Feeding,Morning,,2.5
2025+AC0-10+AC0-31,JACKPOT,Milking,Morning,6,
2025+AC0-10+AC0-31,JACKPOT,Milking,Midday,4,
2025+AC0-10+AC0-31,JACKPOT,Feeding,Evening,,2.5
2025+AC0-10+AC0-31,JACKPOT,Milking,Evening,4.5,
2025+AC0-10+AC0-31,SHARON,Feeding,Morning,,2.5
2025+AC0-10+AC0-31,SHARON,Milking,Morning,6.5,
2025+AC0-10+AC0-31,SHARON,Milking,Midday,4.8,
2025+AC0-10+AC0-31,SHARON,Feeding,Evening,,2.5
2025+AC0-10+AC0-31,SHARON,Milking,Evening,4,
2025+AC0-10+AC0-31,MAMBO,Feeding,Morning,,2.5
2025+AC0-10+AC0-31,MAMBO,Milking,Morning,9.6,
2025+AC0-10+AC0-31,MAMBO,Milking,Midday,6.2,
2025+AC0-10+AC0-31,MAMBO,Feeding,Evening,,2.5
2025+AC0-10+AC0-31,MAMBO,Milking,Evening,5.5,
2025+AC0-10+AC0-31,ROCKY,Feeding,Morning,,2.5
2025+AC0-10+AC0-31,ROCKY,Milking,Morning,5.6,
2025+AC0-10+AC0-31,ROCKY,Milking,Midday,3.5,
2025+AC0-10+AC0-31,ROCKY,Feeding,Evening,,2.5
2025+AC0-10+AC0-31,ROCKY,Milking,Evening,3.2,
2025+AC0-10+AC0-31,JOAN,Feeding,Morning,,2.5
2025+AC0-10+AC0-31,JOAN,Milking,Morning,7,
2025+AC0-10+AC0-31,JOAN,Milking,Midday,6,
2025+AC0-10+AC0-31,JOAN,Feeding,Evening,,2.5
2025+AC0-10+AC0-31,JOAN,Milking,Evening,4,
2025+AC0-10+AC0-31,BROOK,Feeding,Morning,,3.8
2025+AC0-10+AC0-31,BROOK,Milking,Morning,4.4,
2025+AC0-10+AC0-31,BROOK,Milking,Midday,3.6,
2025+AC0-10+AC0-31,BROOK,Feeding,Evening,,2.5
2025+AC0-10+AC0-31,BROOK,Milking,Evening,3.7,
2025+AC0-10+AC0-31,SONIC,Feeding,Morning,,2.5
2025+AC0-10+AC0-31,SONIC,Milking,Morning,7.2,
2025+AC0-10+AC0-31,SONIC,Milking,Midday,6.6,
2025+AC0-10+AC0-31,SONIC,Feeding,Evening,,2.5
2025+AC0-10+AC0-31,SONIC,Milking,Evening,5,
2025+AC0-10+AC0-31,RODEO,Feeding,Morning,,2.5
2025+AC0-10+AC0-31,RODEO,Milking,Morning,3.7,
2025+AC0-10+AC0-31,RODEO,Milking,Midday,4.1,
2025+AC0-10+AC0-31,RODEO,Feeding,Evening,,2.5
2025+AC0-10+AC0-31,RODEO,Milking,Evening,4.3,
2025+AC0-10+AC0-31,CHROME,Feeding,Morning,,2.5
2025+AC0-10+AC0-31,CHROME,Milking,Morning,7.3,
2025+AC0-10+AC0-31,CHROME,Milking,Midday,7,
2025+AC0-10+AC0-31,CHROME,Feeding,Evening,,2.5
2025+AC0-10+AC0-31,CHROME,Milking,Evening,6.3,
