Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg
2025+AC0-10+AC0-17,JACKPOT,Feeding,Morning,,
2025+AC0-10+AC0-17,JACKPOT,Milking,Morning,,
2025+AC0-10+AC0-17,JACKPOT,Milking,Midday,,
2025+AC0-10+AC0-17,JACKPOT,Feeding,Evening,,
2025+AC0-10+AC0-17,JACKPOT,Milking,Evening,,
2025+AC0-10+AC0-17,SHARON,Feeding,Morning,,
2025+AC0-10+AC0-17,SHARON,Milking,Morning,,
2025+AC0-10+AC0-17,SHARON,Milking,Midday,,
2025+AC0-10+AC0-17,SHARON,Feeding,Evening,,
2025+AC0-10+AC0-17,SHARON,Milking,Evening,,
2025+AC0-10+AC0-17,MAMBO,Feeding,Morning,,
2025+AC0-10+AC0-17,MAMBO,Milking,Morning,,
2025+AC0-10+AC0-17,MAMBO,Milking,Midday,,
2025+AC0-10+AC0-17,MAMBO,Feeding,Evening,,
2025+AC0-10+AC0-17,MAMBO,Milking,Evening,,
2025+AC0-10+AC0-17,ROCKY,Feeding,Morning,,
2025+AC0-10+AC0-17,ROCKY,Milking,Morning,,
2025+AC0-10+AC0-17,ROCKY,Milking,Midday,,
2025+AC0-10+AC0-17,ROCKY,Feeding,Evening,,
2025+AC0-10+AC0-17,ROCKY,Milking,Evening,,
2025+AC0-10+AC0-17,JOAN,Feeding,Morning,,
2025+AC0-10+AC0-17,JOAN,Milking,Morning,,
2025+AC0-10+AC0-17,JOAN,Milking,Midday,,
2025+AC0-10+AC0-17,JOAN,Feeding,Evening,,
2025+AC0-10+AC0-17,JOAN,Milking,Evening,,
2025+AC0-10+AC0-17,BROOK,Feeding,Morning,,
2025+AC0-10+AC0-17,BROOK,Milking,Morning,,
2025+AC0-10+AC0-17,BROOK,Milking,Midday,,
2025+AC0-10+AC0-17,BROOK,Feeding,Evening,,
2025+AC0-10+AC0-17,BROOK,Milking,Evening,,
2025+AC0-10+AC0-17,SONIC,Feeding,Morning,,
2025+AC0-10+AC0-17,SONIC,Milking,Morning,,
2025+AC0-10+AC0-17,SONIC,Milking,Midday,,
2025+AC0-10+AC0-17,SONIC,Feeding,Evening,,
2025+AC0-10+AC0-17,SONIC,Milking,Evening,,
2025+AC0-10+AC0-17,RODEO,Feeding,Morning,,
2025+AC0-10+AC0-17,RODEO,Milking,Morning,,
2025+AC0-10+AC0-17,RODEO,Milking,Midday,,
2025+AC0-10+AC0-17,RODEO,Feeding,Evening,,
2025+AC0-10+AC0-17,RODEO,Milking,Evening,,
2025+AC0-10+AC0-17,CHROME,Feeding,Morning,,
2025+AC0-10+AC0-17,CHROME,Milking,Morning,,
2025+AC0-10+AC0-17,CHROME,Milking,Midday,,
2025+AC0-10+AC0-17,CHROME,Feeding,Evening,,
2025+AC0-10+AC0-17,CHROME,Milking,Evening,,
